SupplierID,Name,Address
1,Tambee,3 Dexter Terrace
2,Wordify,37078 Moland Junction
3,Youbridge,20791 Helena Way
4,Tagpad,1122 Derek Pass
5,Youtags,54909 Summerview Center
6,Mybuzz,70 Fair Oaks Street
7,LiveZ,8722 Westend Point
8,Topicware,196 Cherokee Crossing
9,Shuffledrive,473 4th Crossing
10,Kazio,908 Novick Court
11,Wordpedia,797 Oriole Terrace
12,Omba,980 Bartelt Center
13,JumpXS,9027 Crest Line Avenue
14,Topicware,26471 4th Parkway
15,Bubblemix,014 Hermina Trail
16,Kare,7769 Mcguire Hill
17,Midel,0 Fordem Crossing
18,Meeveo,9808 Oak Way
19,Plambee,181 Erie Lane
20,Roodel,0592 Rockefeller Circle
